,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
59,6.84,6.81,6.6,6.6,257820.0,6.7524,2018-07-25,2018-07-25,6.81,99295.75,149105.75,106196.25,6900.5,0.0,6900.5,5609.75,0,0,0.0,0.0,2,106196.25,0.0,0.0,106196.25,106196.25,0.0,0.16098223135800843,0.0,0.16098223135800843
60,6.91,6.73,6.88,6.7,157440.0,6.7951,2018-07-26,2018-07-26,6.73,99295.75,149105.75,105459.0,6163.25,0.0,6163.25,-737.25,0,0,0.0,0.0,2,105459.0,0.0,0.0,105459.0,105459.0,0.0,-0.021156762791335038,0.0,-0.021156762791335038
61,6.74,6.68,6.66,6.6403,178673.0,6.6885,2018-07-27,2018-07-27,6.68,5262.75,249253.5,5332.5,69.75,6114.749999999993,6184.499999999993,21.25,20,0,6114.749999999993,1.231601366762334,1,5332.5,0.0,100147.75,5332.5,5332.5,0.175474147546037,0.0006098083544467542,0.175474147546037,0.0006098083544467542
62,6.91,6.85,6.77,6.77,214784.0,6.8739,2018-07-30,2018-07-30,6.85,5262.75,249253.5,5409.0,146.25,0.0,146.25,76.5,0,0,0.0,0.0,1,5409.0,0.0,0.0,5409.0,5409.0,0.0,0.0021953100760083153,0.0,0.0021953100760083153
63,7.04,6.94,6.94,6.84,394988.0,6.9267,2018-07-31,2018-07-31,6.94,5262.75,249253.5,5456.25,193.5,0.0,193.5,47.25,0,0,0.0,0.0,1,5456.25,0.0,0.0,5456.25,5456.25,0.0,0.0013559268116521946,0.0,0.0013559268116521946
64,7.05,7.0,6.96,6.96,316719.0,7.0213,2018-08-01,2018-08-01,7.0,5262.75,249253.5,5472.0,209.25,0.0,209.25,15.75,0,0,0.0,0.0,1,5472.0,0.0,0.0,5472.0,5472.0,0.0,0.0004519756038840649,0.0,0.0004519756038840649
65,7.3292,7.035,7.05,7.02,821524.0,7.1472,2018-08-02,2018-08-02,7.035,5262.75,249253.5,5494.5,231.75,0.0,231.75,22.5,0,0,0.0,0.0,1,5494.5,0.0,0.0,5494.5,5494.5,0.0,0.0006456794341200927,0.0,0.0006456794341200927
66,7.09,7.03,7.03,7.0,250858.0,7.0478,2018-08-03,2018-08-03,7.03,9945.75,244806.75,9867.25,-78.5,236.25,157.75,-74.0,1,0,236.25,0.04489097905087644,2,9867.25,0.0,-4446.75,9867.25,9867.25,0.006779634058260973,-0.0021235679166616383,0.006779634058260973,-0.0021235679166616383
67,7.21,7.18,7.07,7.07,467536.0,7.1693,2018-08-06,2018-08-06,7.18,9945.75,244806.75,10186.0,240.25,0.0,240.25,318.75,0,0,0.0,0.0,2,10186.0,0.0,0.0,10186.0,10186.0,0.0,0.009147125316701313,0.0,0.009147125316701313
68,7.24,7.1,7.2,7.09,146668.0,7.1493,2018-08-07,2018-08-07,7.1,9945.75,244806.75,10073.5,127.75,0.0,127.75,-112.5,0,0,0.0,0.0,2,10073.5,0.0,0.0,10073.5,10073.5,0.0,-0.0032283971706004635,0.0,-0.0032283971706004635
